iddrink,strdrink,stralcoholic,strcategory,strglass,strinstructions
11288,Cuba Libre,Alcoholic,Ordinary Drink,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.
13837,Kir Royale,Alcoholic,Ordinary Drink,Champagne Flute,"Pour Creme de cassis in glass, gently pour champagne on top"
11010,After Dinner Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.
11987,Queen Bee,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
14181,Cafe Savoy,Alcoholic,Coffee / Tea,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir."
17066,Army special,Alcoholic,Cocktail,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw."
11338,English Highball,Alcoholic,Ordinary Drink,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"
17079,Baby Guinness,Alcoholic,Shot,Shot glass,"Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head""."
13501,ABC,Alcoholic,Shot,Shot glass,Layered in a shot glass.
11005,Acapulco,Alcoholic,Ordinary Drink,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
11844,New York Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve."
17230,Gin Rickey,Alcoholic,Cocktail,Highball glass,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.
11368,Flying Dutchman,Alcoholic,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well."
14157,Ziemes Martini Apfelsaft,Alcoholic,Ordinary Drink,Collins Glass,Serve without ice. At least the juice shold have room temperature.
15409,Danbooka,Alcoholic,Coffee / Tea,Coffee Mug,pour it in and mix it.
13128,Diesel,Alcoholic,Beer,Pint glass,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.
11128,Boston Sidecar,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
11476,Highland Fling Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.
11052,Archbishop,Alcoholic,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."
12944,Gluehwein,Optional alcohol,Punch / Party Drink,Irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
11418,Gin Squirt,Alcoholic,Ordinary Drink,Highball glass,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve."
13839,Manhattan,Alcoholic,Cocktail,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up."
16958,Apple Pie with A Crust,Alcoholic,Other/Unknown,Collins Glass,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.
11664,Lone Tree Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve."
15200,A Day at the Beach,Alcoholic,Ordinary Drink,Highball glass,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
13222,Big Red,Alcoholic,Shot,Shot glass,Pour ingredients into 1 ounce shot glass
11027,Amaretto Rose,Alcoholic,Ordinary Drink,Collins glass,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.
12055,Royal Fizz,Alcoholic,Ordinary Drink,Collins glass,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.
15941,Americano,Alcoholic,Ordinary Drink,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice."
13936,Miami Vice,Alcoholic,Cocktail,Cocktail glass,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together)."
11580,John Collins,Alcoholic,Ordinary Drink,Collins glass,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.
17251,Boulevardier,Alcoholic,Cocktail,Martini Glass,"Stir with ice, strain, garnish and serve."
17002,Gideon's Green Dinosaur,Alcoholic,Ordinary Drink,Collins glass,Add all ingredients in collins glass with ice and stir.
11011,After Supper Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
17188,Mary Pickford,Alcoholic,Cocktail,Cocktail glass,Shake and strain into a chilled large cocktail glass
14306,Amaretto Stone Sour,Alcoholic,Other/Unknown,Collins Glass,Shake and Serve over ice
12856,Tia-Maria,Alcoholic,Homemade Liqueur,Collins Glass,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using."
15226,Space Odyssey,Alcoholic,Ordinary Drink,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.
14594,Zizi Coin-coin,Alcoholic,Punch / Party Drink,Margarita/Coupette glass,"Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass."
12434,Valencia Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
15639,Texas Sling,Alcoholic,Milk / Float / Shake,Wine Glass,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream."
13940,69 Special,Alcoholic,Ordinary Drink,Collins Glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
17168,Amaretto Sunset,Alcoholic,Ordinary Drink,Collins Glass,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange."
17218,Vesper,Alcoholic,Cocktail,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel."
13497,Green Goblin,Alcoholic,Beer,Pint glass,"Cider First, Lager then Curacao"
12698,Lassi - Mango,Non alcoholic,Other/Unknown,Highball glass,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.
11600,Kamikaze,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve."
16987,Irish Curdling Cow,Alcoholic,Cocktail,Highball glass,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice."
12766,Happy Skipper,Alcoholic,Ordinary Drink,Highball glass,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)"
11007,Adonis Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
17266,Oatmeal Cookie,Alcoholic,Cocktail,Mason jar,"Just mix it all together.
It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.

Tastes like an oatmeal cookie."
17200,Grasshopper,Alcoholic,Ordinary Drink,Cocktail glass,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.
17245,Rosemary Blue,Alcoholic,Cocktail,Balloon Glass,"1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix."
16998,Bruised Heart,Alcoholic,Shot,Shot glass,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass"
